Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,Fertility rate - Sex: all - Age: all - Variant: medium
Africa (UN),,1950,6.516,
Africa (UN),,1951,6.53,
Africa (UN),,1952,6.541,
Africa (UN),,1953,6.558,
Africa (UN),,1954,6.569,
Africa (UN),,1955,6.581,
Africa (UN),,1956,6.594,
Africa (UN),,1957,6.606,
Africa (UN),,1958,6.617,
Africa (UN),,1959,6.631,
Africa (UN),,1960,6.645,
Africa (UN),,1961,6.658,
Africa (UN),,1962,6.673,
Africa (UN),,1963,6.679,
Africa (UN),,1964,6.68,
Africa (UN),,1965,6.676,
Africa (UN),,1966,6.687,
Africa (UN),,1967,6.691,
Africa (UN),,1968,6.691,
Africa (UN),,1969,6.687,
Africa (UN),,1970,6.688,
Africa (UN),,1971,6.692,
Africa (UN),,1972,6.693,
Africa (UN),,1973,6.689,
Africa (UN),,1974,6.688,
Africa (UN),,1975,6.686,
Africa (UN),,1976,6.676,
Africa (UN),,1977,6.663,
Africa (UN),,1978,6.647,
Africa (UN),,1979,6.62,
Africa (UN),,1980,6.589,
Africa (UN),,1981,6.548,
Africa (UN),,1982,6.509,
Africa (UN),,1983,6.46,
Africa (UN),,1984,6.394,
Africa (UN),,1985,6.322,
Africa (UN),,1986,6.244,
Africa (UN),,1987,6.169,
Africa (UN),,1988,6.092,
Africa (UN),,1989,6.004,
Africa (UN),,1990,5.909,
Africa (UN),,1991,5.827,
Africa (UN),,1992,5.747,
Africa (UN),,1993,5.663,
Africa (UN),,1994,5.589,
Africa (UN),,1995,5.508,
Africa (UN),,1996,5.429,
Africa (UN),,1997,5.353,
Africa (UN),,1998,5.296,
Africa (UN),,1999,5.248,
Africa (UN),,2000,5.203,
Africa (UN),,2001,5.16,
Africa (UN),,2002,5.115,
Africa (UN),,2003,5.082,
Africa (UN),,2004,5.059,
Africa (UN),,2005,5.04,
Africa (UN),,2006,5.013,
Africa (UN),,2007,4.985,
Africa (UN),,2008,4.968,
Africa (UN),,2009,4.927,
Africa (UN),,2010,4.891,
Africa (UN),,2011,4.842,
Africa (UN),,2012,4.796,
Africa (UN),,2013,4.74,
Africa (UN),,2014,4.686,
Africa (UN),,2015,4.625,
Africa (UN),,2016,4.545,
Africa (UN),,2017,4.482,
Africa (UN),,2018,4.391,
Africa (UN),,2019,4.312,
Africa (UN),,2020,4.242,
Africa (UN),,2021,4.179,
Africa (UN),,2022,4.125,
Africa (UN),,2023,4.072,
Africa (UN),,2024,,4.015
Africa (UN),,2025,,3.952
Africa (UN),,2026,,3.891
Africa (UN),,2027,,3.829
Africa (UN),,2028,,3.77
Africa (UN),,2029,,3.712
Africa (UN),,2030,,3.653
Africa (UN),,2031,,3.596
Africa (UN),,2032,,3.538
Africa (UN),,2033,,3.483
Africa (UN),,2034,,3.43
Africa (UN),,2035,,3.377
Africa (UN),,2036,,3.328
Africa (UN),,2037,,3.277
Africa (UN),,2038,,3.232
Africa (UN),,2039,,3.189
Africa (UN),,2040,,3.147
Africa (UN),,2041,,3.105
Africa (UN),,2042,,3.066
Africa (UN),,2043,,3.028
Africa (UN),,2044,,2.991
Africa (UN),,2045,,2.953
Africa (UN),,2046,,2.92
Africa (UN),,2047,,2.886
Africa (UN),,2048,,2.854
Africa (UN),,2049,,2.822
Africa (UN),,2050,,2.792
Africa (UN),,2051,,2.764
Africa (UN),,2052,,2.737
Africa (UN),,2053,,2.71
Africa (UN),,2054,,2.683
Africa (UN),,2055,,2.658
Africa (UN),,2056,,2.633
Africa (UN),,2057,,2.609
Africa (UN),,2058,,2.587
Africa (UN),,2059,,2.565
Africa (UN),,2060,,2.543
Africa (UN),,2061,,2.522
Africa (UN),,2062,,2.501
Africa (UN),,2063,,2.48
Africa (UN),,2064,,2.46
Africa (UN),,2065,,2.44
Africa (UN),,2066,,2.423
Africa (UN),,2067,,2.405
Africa (UN),,2068,,2.388
Africa (UN),,2069,,2.371
Africa (UN),,2070,,2.354
Africa (UN),,2071,,2.338
Africa (UN),,2072,,2.323
Africa (UN),,2073,,2.308
Africa (UN),,2074,,2.293
Africa (UN),,2075,,2.278
Africa (UN),,2076,,2.264
Africa (UN),,2077,,2.25
Africa (UN),,2078,,2.237
Africa (UN),,2079,,2.223
Africa (UN),,2080,,2.211
Africa (UN),,2081,,2.199
Africa (UN),,2082,,2.188
Africa (UN),,2083,,2.177
Africa (UN),,2084,,2.166
Africa (UN),,2085,,2.155
Africa (UN),,2086,,2.144
Africa (UN),,2087,,2.134
Africa (UN),,2088,,2.124
Africa (UN),,2089,,2.114
Africa (UN),,2090,,2.104
Africa (UN),,2091,,2.095
Africa (UN),,2092,,2.085
Africa (UN),,2093,,2.076
Africa (UN),,2094,,2.068
Africa (UN),,2095,,2.059
Africa (UN),,2096,,2.051
Africa (UN),,2097,,2.043
Africa (UN),,2098,,2.035
Africa (UN),,2099,,2.027
